name,day,diet_type,meal,protein_g,carbs_g,fat_g,fiber_g,usda_source,calories,image
Boiled Egg,MONDAY,non-veg,Breakfast,6,1,5,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),78,
Chilled badam milk (only non-veg mess),SUNDAY,non-veg,Lunch,6,22,8,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),180,
Chicken handi masala,WEDNESDAY,non-veg,Lunch,22,12,24,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),350,
Egg bhurji,FRIDAY,non-veg,Breakfast,12,4,13,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),180,
Dum Chicken Biryani ,SUNDAY,non-veg,Lunch,30,68,20,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),580,
Boiled Egg,THURSDAY,non-veg,Breakfast,6,1,5,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),78,
Chicken Chettinad masala (semi dry) ,FRIDAY,non-veg,Lunch,30,52,20,6,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),520,
Chettinadu Egg Masala,WEDNESDAY,non-veg,Dinner,13,7,14,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),210,
Egg Bhurji,SUNDAY,non-veg,Breakfast,12,4,13,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),180,
Kadai paneer,SATURDAY,non-veg,Dinner,19,52,15,7,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),420,
Boiled Egg,SATURDAY,non-veg,Breakfast,6,1,5,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),78,
Egg bhurji,TUESDAY,non-veg,Breakfast,12,4,13,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),180,
Chettinadu Egg Masala,WEDNESDAY,non-veg,Dinner,13,7,14,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),210,
Boiled Egg,WEDNESDAY,non-veg,Breakfast,6,1,5,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),78,
Tea/Coffee/Milk,WEDNESDAY,non-veg,Breakfast,3,8,2,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),60,
Pongal + Sambar,MONDAY,non-veg,Breakfast,9,46,7,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),280,
Toasted Bread + Butter + Jam,MONDAY,non-veg,Breakfast,6,40,9,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),260,
Tea/Coffee/Milk,MONDAY,non-veg,Breakfast,3,8,2,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),60,
Chapati (2 pieces) + Dal fry,MONDAY,non-veg,Lunch,12,52,7,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),330,
White Rice + Mochai Kara Kolambu + Carrot and beans poriyal + Paruppu Rasam,MONDAY,non-veg,Lunch,12,74,6,6,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),420,
Parupu Podi + Gingerlly Oil + Thovaiyal + Pickle + fryams,MONDAY,non-veg,Lunch,5,10,8,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),130,
watermelon + curd + Lemon mint juice,MONDAY,non-veg,Lunch,3,18,1,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),100,
Paneer Sandwich + Sauce Tea/Coffee/Milk,MONDAY,non-veg,Snacks,14,38,13,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),340,
Phulka + White chenna masala + Jeera Dal,MONDAY,non-veg,Dinner,17,58,10,9,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),400,
White rice + Dry Cabbage Porial,MONDAY,non-veg,Dinner,5,54,4,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),280,
Rasam + Pickle,MONDAY,non-veg,Dinner,1,9,1,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),50,
Ice cream + Salad (Cucumber + Carrot) + Milk + curd,MONDAY,non-veg,Dinner,8,36,10,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),270,
Vaazhai thandu soup,MONDAY,non-veg,Dinner,1,8,1,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),45,
Idli + Sambar + Mint Chutney + Podi oil + Poha + bhujiya + Chopped onion + lemon,TUESDAY,non-veg,Breakfast,9,54,8,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),320,
Wheat Bread + Butter + Jam,TUESDAY,non-veg,Breakfast,6,37,9,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),250,
Tea/Coffee/Milk,TUESDAY,non-veg,Breakfast,3,8,2,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),60,
