name,day,diet_type,meal,protein_g,carbs_g,fat_g,fiber_g,usda_source,calories,image
Tea/Coffee/Milk,WEDNESDAY,vegetarian,Breakfast,3,8,2,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),60,
Pongal + Sambar,MONDAY,vegetarian,Breakfast,9,46,7,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),280,
Toasted Bread + Butter + Jam,MONDAY,vegetarian,Breakfast,6,40,9,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),260,
Tea/Coffee/Milk,MONDAY,vegetarian,Breakfast,3,8,2,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),60,
Chapati (2 pieces) + Dal fry,MONDAY,vegetarian,Lunch,12,52,7,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),330,
White Rice + Mochai Kara Kolambu + Carrot and beans poriyal + Paruppu Rasam,MONDAY,vegetarian,Lunch,12,74,6,6,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),420,
Parupu Podi + Gingerlly Oil + Thovaiyal + Pickle + fryams,MONDAY,vegetarian,Lunch,5,10,8,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),130,
watermelon + curd + Lemon mint juice,MONDAY,vegetarian,Lunch,3,18,1,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),100,
Paneer Sandwich + Sauce Tea/Coffee/Milk,MONDAY,vegetarian,Snacks,14,38,13,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),340,
Phulka + White chenna masala + Jeera Dal,MONDAY,vegetarian,Dinner,17,58,10,9,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),400,
White rice + Dry Cabbage Porial,MONDAY,vegetarian,Dinner,5,54,4,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),280,
Rasam + Pickle,MONDAY,vegetarian,Dinner,1,9,1,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),50,
Ice cream + Salad (Cucumber + Carrot) + Milk + curd,MONDAY,vegetarian,Dinner,8,36,10,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),270,
Vaazhai thandu soup,MONDAY,vegetarian,Dinner,1,8,1,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),45,
Idli + Sambar + Mint Chutney + Podi oil + Poha + bhujiya + Chopped onion + lemon,TUESDAY,vegetarian,Breakfast,9,54,8,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),320,
Wheat Bread + Butter + Jam,TUESDAY,vegetarian,Breakfast,6,37,9,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),250,
Tea/Coffee/Milk,TUESDAY,vegetarian,Breakfast,3,8,2,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),60,
Veg biryani + onion raita,TUESDAY,vegetarian,Lunch,10,68,9,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),390,
Methi Dal + Mixed vegetable kadai,TUESDAY,vegetarian,Lunch,10,25,7,6,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),210,
White Rice + Sambar + Udupi Tomato Rasam + Curd,TUESDAY,vegetarian,Lunch,11,68,5,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),380,
Parupu Podi + Ghee + Thorvaiyal + Pickle,TUESDAY,vegetarian,Lunch,4,9,8,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),120,
muskmelon + papad + Lemon mint juice,TUESDAY,vegetarian,Lunch,3,20,2,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),110,
Masala peanut / Veg Puff (even weeks) + Tea/Coffee/Milk,TUESDAY,vegetarian,Snacks,6,24,10,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),210,
Masala Dosa + Chutney + Sambar,TUESDAY,vegetarian,Dinner,8,56,9,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),340,
White rice + Rasam + Pickle,TUESDAY,vegetarian,Dinner,5,56,2,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),270,
Milk,TUESDAY,vegetarian,Dinner,3,5,3,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),60,
Salad (Cucumber + Carrot),TUESDAY,vegetarian,Dinner,1,7,0,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),35,
Butter milk,TUESDAY,vegetarian,Dinner,2,5,1,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),40,
Puri + Aaloo masala,WEDNESDAY,vegetarian,Breakfast,8,56,15,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),390,
Rawa Khichdi + Chutney,WEDNESDAY,vegetarian,Breakfast,6,35,6,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),215,
Bread + Butter + Jam,WEDNESDAY,vegetarian,Breakfast,6,37,9,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),245,
Vegetable Vermicelli upma + coconut chutney,MONDAY,vegetarian,Breakfast,5,35,7,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),220,
Palak Paneer,WEDNESDAY,non-veg,Lunch,22,12,24,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),350,
Chapati (2 pieces),WEDNESDAY,vegetarian,Lunch,7,44,5,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),240,
White Rice + Arachivitta sambar + Broad beans poriyal + Milagu Rasam,WEDNESDAY,vegetarian,Lunch,13,75,7,7,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),430,
Parupu Podi + Ghee + Thovaiyal + Pickle,WEDNESDAY,vegetarian,Lunch,4,9,8,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),120,
Mixed fruit + Butter milk + Lemon mint juice,WEDNESDAY,vegetarian,Lunch,3,26,2,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),130,
Pasta (red / white) Tea/Coffee/Milk,WEDNESDAY,vegetarian,Snacks,10,52,9,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),320,
White chana masala + Vegetable biryani,WEDNESDAY,vegetarian,Dinner,15,72,10,9,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),440,
Idly + Sambar + Chutney,WEDNESDAY,vegetarian,Dinner,6,38,2,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),200,
Rasam + Curd + Sweet,WEDNESDAY,vegetarian,Dinner,5,24,3,1,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),140,
Salad (Beetroot + carrot + cucumber) + strawberry milk,WEDNESDAY,vegetarian,Dinner,4,22,3,3,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),125,
Idli + Vadacurry + Ground nut Chutney,THURSDAY,vegetarian,Breakfast,10,46,8,4,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),290,
Pav vaji + chopped onion,THURSDAY,vegetarian,Breakfast,9,58,11,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),370,
Bread + Butter + Jam,THURSDAY,vegetarian,Breakfast,6,37,9,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),245,
Tea/Coffee/Milk,THURSDAY,vegetarian,Breakfast,3,8,2,0,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),60,
Bisibelabath + potato chips,THURSDAY,vegetarian,Lunch,12,66,12,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),410,
White Rice + dhal fry + Raw banana Poriyal + Pineapple Rasam + Curd,THURSDAY,vegetarian,Lunch,12,78,6,5,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),440,
Parupu Podi + Gingelly Oil,THURSDAY,vegetarian,Lunch,4,8,6,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),100,
Thovaiyal + Pickle + Lemon mint juice,THURSDAY,vegetarian,Lunch,2,8,3,2,USDA FoodData Central (SR Legacy / FNDDS 2021-2023),70,
